system,config,ef_search,recall_10,qps_1t,latency_mean_us,latency_p50_us,latency_p99_us
CP_HNSW_CPU,M32_K64,10,0.31024,4452.93,224.571,218.112,372.477
CP_HNSW_CPU,M32_K64,20,0.34067,3049.37,327.937,317.973,531.734
CP_HNSW_CPU,M32_K64,40,0.35603,1946.07,513.856,507.798,759.193
CP_HNSW_CPU,M32_K64,80,0.36445,1141.37,876.137,883.362,1151.5
CP_HNSW_CPU,M32_K64,100,0.36522,946.802,1056.19,1069.63,1340.32
CP_HNSW_CPU,M32_K64,200,0.36715,499.323,2002.71,2041.3,2513.22
CP_HNSW_CPU,M32_K64,400,0.36761,264.667,3778.33,3869.33,4454.17
CP_HNSW_Rerank,M32_K64_rr50,10,0.63944,1615.09,619.16,615.891,887.3
CP_HNSW_Rerank,M32_K64_rr50,20,0.63812,1616.16,618.752,615.94,882.466
CP_HNSW_Rerank,M32_K64_rr50,40,0.63841,1615.59,618.969,616.116,870.704
CP_HNSW_Rerank,M32_K64_rr50,80,0.65487,1124.77,889.067,896.983,1167.16
CP_HNSW_Rerank,M32_K64_rr50,100,0.66007,933.658,1071.06,1084.08,1372.28
CP_HNSW_Rerank,M32_K64_rr50,200,0.6686,500.396,1998.42,2040.07,2428.63
CP_HNSW_Rerank,M32_K64_rr50,400,0.67185,257.194,3888.12,3977.67,4562.09
CP_HNSW_Rerank,M32_K64_rr100,10,0.74482,875.875,1141.72,1153.22,1478.65
CP_HNSW_Rerank,M32_K64_rr100,20,0.74488,883.021,1132.48,1145.06,1459.7
CP_HNSW_Rerank,M32_K64_rr100,40,0.74475,871.702,1147.18,1149.3,1593.5
CP_HNSW_Rerank,M32_K64_rr100,80,0.74476,875.761,1141.86,1150.01,1520.86
CP_HNSW_Rerank,M32_K64_rr100,100,0.74524,881.094,1134.95,1145.27,1476.41
CP_HNSW_Rerank,M32_K64_rr100,200,0.76076,484.137,2065.53,2109.93,2508.76
CP_HNSW_Rerank,M32_K64_rr100,400,0.76677,253.709,3941.53,4033.02,4721.2
CP_HNSW_Rerank,M32_K64_rr200,10,0.8168,424.454,2355.97,2388.14,3068.72
CP_HNSW_Rerank,M32_K64_rr200,20,0.81694,427.429,2339.57,2377.05,2922.63
CP_HNSW_Rerank,M32_K64_rr200,40,0.81683,423.082,2363.61,2394.49,3028.21
CP_HNSW_Rerank,M32_K64_rr200,80,0.81689,419.516,2383.7,2404.38,3236.5
CP_HNSW_Rerank,M32_K64_rr200,100,0.81676,425.571,2349.78,2386.72,3010.55
CP_HNSW_Rerank,M32_K64_rr200,200,0.81686,427.162,2341.03,2377.44,2930.91
CP_HNSW_Rerank,M32_K64_rr200,400,0.82638,238.001,4201.67,4282.56,5215.53
