system,config,ef_search,recall_10,qps_1t,latency_mean_us,latency_p50_us,latency_p99_us
CP_HNSW_CPU,M32_K32,10,0.19311,15575.2,64.2046,60.976,119.707
CP_HNSW_CPU,M32_K32,20,0.21492,10633.8,94.0398,89.509,169.257
CP_HNSW_CPU,M32_K32,40,0.22455,6611.17,151.259,143.442,254.345
CP_HNSW_CPU,M32_K32,80,0.22898,4202.92,237.93,228.507,387.287
CP_HNSW_CPU,M32_K32,100,0.22987,3617.76,276.414,268.83,433.614
CP_HNSW_CPU,M32_K32,200,0.23056,2046.78,488.572,480.158,749.77
CP_HNSW_CPU,M32_K32,400,0.23061,1119.03,893.633,880.615,1362.37
CP_HNSW_Rerank,M32_K32_rr50,10,0.46123,5388.45,185.582,179.289,304.667
CP_HNSW_Rerank,M32_K32_rr50,20,0.46198,5103.58,195.941,186.6,324.917
CP_HNSW_Rerank,M32_K32_rr50,40,0.46181,5288.67,189.083,182.056,305.436
CP_HNSW_Rerank,M32_K32_rr50,80,0.47014,3988.5,250.721,244.212,385.216
CP_HNSW_Rerank,M32_K32_rr50,100,0.47312,3281.06,304.779,293.68,487.277
CP_HNSW_Rerank,M32_K32_rr50,200,0.47499,1907.87,524.144,509.254,811.102
CP_HNSW_Rerank,M32_K32_rr50,400,0.47556,1089.26,918.051,906.826,1398.2
CP_HNSW_Rerank,M32_K32_rr100,10,0.57851,3138.76,318.597,311.297,491.179
CP_HNSW_Rerank,M32_K32_rr100,20,0.57845,3134.18,319.063,311.298,488.92
CP_HNSW_Rerank,M32_K32_rr100,40,0.57843,3039.71,328.979,316.437,503.765
CP_HNSW_Rerank,M32_K32_rr100,80,0.57853,3020.99,331.018,317.3,515.686
CP_HNSW_Rerank,M32_K32_rr100,100,0.57831,3171.11,315.347,308.579,475.644
CP_HNSW_Rerank,M32_K32_rr100,200,0.58509,1832.83,545.604,530.227,838.386
CP_HNSW_Rerank,M32_K32_rr100,400,0.58692,1051.12,951.362,933.728,1470.97
CP_HNSW_Rerank,M32_K32_rr200,10,0.68145,711.205,1406.06,1032.43,5245.56
CP_HNSW_Rerank,M32_K32_rr200,20,0.68132,659.636,1515.99,1038.38,5781.88
CP_HNSW_Rerank,M32_K32_rr200,40,0.68143,689.628,1450.06,1056.15,5284.57
CP_HNSW_Rerank,M32_K32_rr200,80,0.68139,736.721,1357.37,1039.28,5155.59
CP_HNSW_Rerank,M32_K32_rr200,100,0.68114,647.497,1544.41,1090.37,5518.15
CP_HNSW_Rerank,M32_K32_rr200,200,0.68124,692.384,1444.28,1046.44,5356.24
CP_HNSW_Rerank,M32_K32_rr200,400,0.68556,494.417,2022.58,1661.63,5840.75
